"","date","day","bottle","structure","bottle.number","replicate","connectivity","position","pred.oc","prey.oc","total.bottle.nmbr","total.bottle.nmbr_per_rep","total.bottle.nmbr_connect_per_rep","total.bottle.nmbr_position_per_rep","sampling_days","nghbr_connect","lag_sample_day","colonization_col_pred","extinction_col_pred","colonization_col_prey","extinction_col_prey"
"1","7/10/19",0,"D10A","dendritic",10,"A",1,"D",1,1,60,15,8,8,69,3,68,0,1,0,0
"2","7/12/19",2,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"3","7/15/19",5,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"4","7/17/19",7,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"5","7/19/19",9,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"6","7/22/19",12,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"7","7/24/19",14,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"8","7/26/19",16,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"9","7/29/19",19,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"10","7/31/19",21,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"11","8/2/19",23,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"12","8/5/19",26,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"13","8/7/19",28,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"14","8/9/19",30,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"15","8/12/19",33,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"16","8/14/19",35,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"17","8/16/19",37,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"18","8/19/19",40,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"19","8/21/19",42,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"20","8/23/19",44,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"21","8/26/19",47,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"22","8/29/19",50,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"23","9/3/19",55,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"24","9/6/19",58,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"25","9/9/19",61,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"26","9/11/19",63,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"27","9/13/19",65,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"28","9/20/19",72,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"29","9/23/19",75,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"30","9/25/19",77,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"31","9/30/19",81,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"32","10/3/19",84,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"33","10/7/19",88,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"34","10/10/19",91,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"35","10/14/19",95,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"36","10/17/19",98,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"37","10/21/19",102,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"38","10/24/19",105,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"39","10/28/19",109,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"40","10/31/19",112,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"41","11/4/19",116,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"42","11/7/19",119,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"43","11/12/19",124,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"44","11/14/19",126,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"45","11/18/19",130,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"46","11/21/19",133,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"47","11/25/19",137,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,0
"48","12/2/19",144,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,0,0,0,1
"49","12/5/19",147,"D10A","dendritic",10,"A",1,"D",0,0,60,15,8,8,69,3,68,1,0,1,0
"50","12/9/19",151,"D10A","dendritic",10,"A",1,"D",1,1,60,15,8,8,69,3,68,0,1,0,0
"51","12/12/19",154,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,1,0,0,0
"52","12/16/19",158,"D10A","dendritic",10,"A",1,"D",1,1,60,15,8,8,69,3,68,0,0,0,0
"53","12/19/19",161,"D10A","dendritic",10,"A",1,"D",1,1,60,15,8,8,69,3,68,0,0,0,0
"54","1/2/20",175,"D10A","dendritic",10,"A",1,"D",1,1,60,15,8,8,69,3,68,0,0,0,0
"55","1/6/20",179,"D10A","dendritic",10,"A",1,"D",1,1,60,15,8,8,69,3,68,0,0,0,0
"56","1/9/20",182,"D10A","dendritic",10,"A",1,"D",1,1,60,15,8,8,69,3,68,0,0,0,0
"57","1/13/20",186,"D10A","dendritic",10,"A",1,"D",1,1,60,15,8,8,69,3,68,0,0,0,1
"58","1/16/20",189,"D10A","dendritic",10,"A",1,"D",1,0,60,15,8,8,69,3,68,0,0,1,0
"59","1/21/20",194,"D10A","dendritic",10,"A",1,"D",1,1,60,15,8,8,69,3,68,0,0,0,0
"60","1/23/20",196,"D10A","dendritic",10,"A",1,"D",1,1,60,15,8,8,69,3,68,0,0,0,1
"61","1/27/20",200,"D10A","dendritic",10,"A",1,"D",1,0,60,15,8,8,69,3,68,0,0,0,0
"62","1/30/20",203,"D10A","dendritic",10,"A",1,"D",1,0,60,15,8,8,69,3,68,0,0,1,0
"63","2/3/20",207,"D10A","dendritic",10,"A",1,"D",1,1,60,15,8,8,69,3,68,0,1,0,0
"64","2/6/20",210,"D10A","dendritic",10,"A",1,"D",0,1,60,15,8,8,69,3,68,1,0,0,1
"65","2/18/20",222,"D10A","dendritic",10,"A",1,"D",1,0,60,15,8,8,69,3,68,0,0,0,0
"66","2/20/20",224,"D10A","dendritic",10,"A",1,"D",1,0,60,15,8,8,69,3,68,0,0,0,0
"67","2/24/20",228,"D10A","dendritic",10,"A",1,"D",1,0,60,15,8,8,69,3,68,0,0,0,0
"68","2/27/20",231,"D10A","dendritic",10,"A",1,"D",1,0,60,15,8,8,69,3,68,0,0,0,0
"69","3/2/20",235,"D10A","dendritic",10,"A",1,"D",1,0,60,15,8,8,69,3,68,0,0,0,0
